ID,NAME,Acanthocyclops vernalis,Aglaodiaptomus leptopus,Alona affinis,Alona costata,Alona guttata,Alona rectangula,Alonella nana,Bosmina coregoni,Bosmina hagmanni,Bosmina longirostris,Ceriodaphnia pulchella,Ceriodaphnia quadrangula,Ceriodaphnia reticulata,Chydorus sphaericus,Cyclops scutifer,Daphnia ambigua,Daphnia dentifera,Daphnia galeata,Daphnia longiremis,Daphnia middendorffiana,Daphnia pulex,Daphnia schodleri,Diacyclops thomasi,Diaphanosoma birgei,Epischura nevadensis,Eucyclops agilis,Eurycercus lamellatus,Hesperodiaptomus arcticus,Hesperodiaptomus franciscanus,Hesperodiaptomus kenai,Hesperodiaptomus shoshone,Heterocope septentrionalis,Holopedium gibberum,Leptodiaptomus angustilobus,Leptodiaptomus novamexicanus,Leptodiaptomus nudus,Leptodiaptomus sicilis,Leptodiaptomus signicauda,Leptodiaptomus tyrrelli,Leptodora kindtii,Macrocyclops albidus,Microcyclops varicans,Orthocyclops modestus,Polyphemus pediculus,Scapholeberis kingi,Sida crystallina,Simocephalus vetulus,Skistodiaptomus oregonensis,LATITUDE,LONGITUDE,FISH_STOCKING,RECENT_DATE,RECENT_REF,RESEARCH_GROUP,#_YEARS_SAMPLED
69,Takla,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,55.39553,-125.85566,0,1977,Rankin_et_al_1983,DFO_Pacific_Station,1
70,Maxan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,54.29742,-126.09147,0,NA,Patalas_et_al_1994,Patalas,1
71,Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,54.38992,-126.26064,0,NA,Patalas_et_al_1994,Patalas,1
72,Kathlyn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.82455,-127.20612,1,NA,Patalas_et_al_1994,Patalas,1
73,Seymour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.74414,-127.15964,1,NA,Patalas_et_al_1994,Patalas,1
74,Babine,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,54.7967,-126.02721,1,1977,Rankin_et_al_1983,DFO_Pacific_Station,4
75,Nilkitkwa,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,55.37705,-126.66076,0,1962,Johnson_1965,DFO_Pacific_Station,3
76,Morrison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.23981,-126.37211,0,1977,Rankin_et_al_1983,DFO_Pacific_Station,3
77,Haul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,55.32213,-126.52332,0,NA,Patalas_et_al_1994,Patalas,1
78,Motase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.03667,-127.04712,0,NA,Patalas_et_al_1994,Patalas,1
